t,event,slug,data
71.6167,item_classified,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [313.6, 203.6, 197.6], ""reason"": ""fits, no circle evidence: circ=0.61 sect=0.00 dome=0.00 flank=56.7mm elong=1.5 h/w=1.00"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
71.6167,escapement_release,box_s,"{""carrier"": 3, ""zone"": ""B"", ""t_land_est"": 72.505, ""len_m"": 0.314, ""bias"": 0.0}"
72.25,item_spawned,plate,"{""zone_true"": ""D""}"
72.5167,induction_landed,box_s,"{""carrier"": 3, ""offset_m"": -0.0957}"
72.5167,routing_cmd,box_s,"{""zone"": ""B"", ""carrier"": 3}"
74.5833,tilt_cmd,box_s,"{""carrier"": 3, ""station"": ""B"", ""target_deg"": -37.57}"
75.0333,tilt_full,box_s,"{""carrier"": 3, ""tilt_ms"": 450.0}"
75.3833,discharge_confirmed,box_s,"{""carrier"": 3, ""station"": ""B"", ""latency_ms"": 633.3}"
77.6,item_detected,plate,
77.8333,item_delivered,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.325, 5.71, 0.8]}"
78.0833,item_classified,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 0.8, ""sensor_miss"": false, ""dims_mm"": [200.9, 200.2, 26.3], ""reason"": ""circle evidence: circ=0.94 sect=0.00 dome=0.47 flank=18.6mm elong=1.0 h/w=0.13"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
78.8,escapement_release,plate,"{""carrier"": 6, ""zone"": ""D"", ""t_land_est"": 79.705, ""len_m"": 0.201, ""bias"": 0.0}"
79.6333,induction_landed,plate,"{""carrier"": 6, ""offset_m"": -0.04}"
79.6333,routing_cmd,plate,"{""zone"": ""D"", ""carrier"": 6}"
82.5167,tilt_cmd,plate,"{""carrier"": 6, ""station"": ""D"", ""target_deg"": 37.79}"
82.9667,tilt_full,plate,"{""carrier"": 6, ""tilt_ms"": 450.0}"
83.4333,item_delivered,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.873, 2.472, 0.24]}"
